artist,venue,city,date
Metallica,London Stadium,London,05/07/2026
Metallica,London Stadium,London,03/07/2026
Harry Styles,Wembley Stadium,London,29/06/2026
Rosalía,O2 Arena,London,06/05/2026
Dracula,Nöel Coward Theatre,London,25/02/2026
Florence + The Machine,O2 Arena,London,16/02/2026
Magdalena Bay,O2 Academy Brixton,London,10/02/2026
The Last Dinner Party,O2 Academy Brixton,London,07/12/2025
Wolf Alice,O2 Arena,London,03/12/2025
Radiohead,O2 Arena,London,21/11/2025
Lorde,O2 Arena,London,16/11/2025
Momma,The Garage,London,11/11/2025
Turnstile,Alexandra Palace,London,05/11/2025
The Beths,Roundhouse,London,26/09/2025
Coldplay,Wembley Stadium,London,03/09/2025
Lana Del Rey,Wembley Stadium,London,03/07/2025
Linkin Park,Wembley Stadium,London,28/06/2025
Dua Lipa,Wembley Stadium,London,21/06/2025
Beyoncé,Tottenham Hotspur Stadium,London,12/06/2025
Chappell Roan / Wet Leg,Primavera Sound,Barcelona,07/06/2025
Wolf Alice / Haim / Sabrina Carpenter,Primavera Sound,Barcelona,06/06/2025
Charli XCX,Primavera Sound,Barcelona,05/06/2025
Richard II,Bridge Theatre,London,31/03/2025
Animals as Leaders,OVO Wembley,London,15/03/2025
Pantera,OVO Wembley,London,25/02/2025
Elektra,Duke of York's Theatre,London,10/02/2025
Graveyard / Baroness,O2 Forum Kentish Town,London,20/11/2024
Phantom of the Opera,Her Majesty's Theatre,London,07/11/2024
Waiting For Godot,Royal Theatre Haymarket,London,29/10/2024
Lizzy McAlpine,Eventim Apollo,London,24/10/2024
The Last Dinner Party,Eventim Apollo,London,19/10/2024
Gryphon,New Cross Inn,London,18/08/2024
Taylor Swift,Wembley Stadium,London,17/08/2024
Tchaikovsky,Royal Albert Hall,London,01/08/2024
AC/DC,Wembley Stadium,London,07/07/2024
Foo Fighters,London Stadium,London,22/06/2024
Taylor Swift,Wembley Stadium,London,21/06/2024
Paramore,Wembley Stadium,London,21/06/2024
Liam Gallagher,The O2,London,10/06/2024
Yes,Royal Albert Hall,London,04/06/2024
Olivia Rodrigo,The O2,London,17/05/2024
Les Misérables,Sondheim Theatre,London,03/05/2024
Stranger Things: First Shadow,Phoenix Theatre,London,02/05/2024
Jethro Tull,The London Palladium,London,22/04/2024
Machinal,The Old Vic,London,20/04/2024
Atheist,The Underworld,London,18/03/2024
The Picture of Dorian Gray,Theatre Royal Haymarket,London,17/02/2024
The 1975,The O2,London,14/02/2024
Mountain Caller / King Buffalo,The Dome,London,17/10/2023
Gilberto Gil,Royal Albert Hall,London,11/10/2023
Bootleg Beatles,Royal Albert Hall,London,03/10/2023
Lil Nas X,NOS Alive,Lisbon,07/07/2023
Arctic Monkeys,NOS Alive,Lisbon,07/07/2023
Lizzo,NOS Alive,Lisbon,07/07/2023
Red Hot Chilli Peppers,NOS Alive,Lisbon,06/07/2023
Beyoncé,Tottenham Hotspur Stadium,London,04/06/2023
Gojira,Eventim Apollo,London,22/02/2023
Dream Theater,Eventim Apollo,London,21/02/2023
Florence + The Machine,O2 Arena,London,-/01/2023
Opeth,Eventim Apollo,London,18/11/2022
Lady Gaga,Tottenham Hotspur Stadium,London,30/07/2022
Haim,The O2,London,21/07/2022
David Guetta,Lollapalooza,Paris,-/07/2022
Imagine Dragons,Lollapalooza,Paris,-/07/2022
Måneskin,Lollapalooza,Paris,-/07/2022
Anitta,Lollapalooza,Paris,-/07/2022
Metallica,NOS Alive,Lisbon,09/07/2022
Red Hot Chilli Peppers,London Stadium,London,-/06/2022
Yes,Royal Albert Hall,London,21/06/2022
Meshuggah,Royal Albert Hall,London,03/06/2022
Van Der Graaf Generator,The London Palladium,London,24/02/2022
Christina Aguilera,OVO Arena Wembley,London,-/-/2019
